Time,solar_irradiance,temp,hour_sun
20230122:0110,0,0,-0.21
20230122:0210,0,0,-0.25
20230122:0310,0,0,-0.17
20230122:0410,0,0,-0.16
20230122:0510,0,0,-0.06
20230122:0610,0,0,-0.02
20230122:0710,0,0,-0.34
20230122:0810,16.38,6.88,-0.26
20230122:0910,97.32,13.18,0.2
20230122:1010,59.8,17.65,0.66
20230122:1110,93.12,19.88,1.43
20230122:1210,116.43,19.64,2.31
20230122:1310,66.66,16.95,2.41
20230122:1410,62.63,12.1,2.43
20230122:1510,16.38,5.48,1.98
20230122:1610,0,0,1.11
20230122:1710,0,0,0.65
20230122:1810,0,0,0.46
20230122:1910,0,0,0.46
20230122:2010,0,0,0.2
20230122:2110,0,0,-0.09
20230122:2210,0,0,-0.39
20230122:2310,0,0,-0.58
20230123:0010,0,0,-0.61
20230123:0110,0,0,-0.79
20230123:0210,0,0,-1.55
20230123:0310,0,0,-2.2
20230123:0410,0,0,-2.37
20230123:0510,0,0,-2.32
20230123:0610,0,0,-1.77
20230123:0710,0,0,-2.08
20230123:0810,43.36,7.04,-2.21
20230123:0910,87.69,13.37,-1.34
20230123:1010,128.32,17.86,0.12
20230123:1110,63.75,20.11,1.55
20230123:1210,66.29,19.88,2.38
20230123:1310,40.98,17.19,2.78
20230123:1410,62.63,12.33,3.47
20230123:1510,26.98,5.72,2.96
20230123:1610,0,0,1.98
20230123:1710,0,0,1.45
20230123:1810,0,0,1.16
20230123:1910,0,0,1.72
20230123:2010,0,0,1.52
20230123:2110,0,0,1.49
20230123:2210,0,0,1.2
20230123:2310,0,0,0.83
20230124:0010,0,0,0.64
20230124:0110,0,0,0.31
20230124:0210,0,0,0.05
20230124:0310,0,0,-0.16
20230124:0410,0,0,-0.3
20230124:0510,0,0,-0.21
20230124:0610,0,0,-0.26
20230124:0710,0,0,0.05
20230124:0810,38.54,7.22,0.24
20230124:0910,67.45,13.57,0.91
20230124:1010,69.6,18.08,2.09
20230124:1110,79.4,20.34,2.8
20230124:1210,69.6,20.12,3.38
20230124:1310,59.8,17.44,3.96
20230124:1410,49.14,12.58,3.96
20230124:1510,26.02,5.95,3.62
20230124:1610,0,0,2.45
20230124:1710,0,0,1.74
20230124:1810,0,0,1.07
20230124:1910,0,0,-0.02
20230124:2010,0,0,-0.08
20230124:2110,0,0,0.08
20230124:2210,0,0,-0.14
20230124:2310,0,0,0.35
20230125:0010,0,0,0.35
20230125:0110,0,0,0.29
20230125:0210,0,0,0.24
20230125:0310,0,0,0.14
20230125:0410,0,0,0.06
20230125:0510,0,0,-0.16
20230125:0610,0,0,-0.36
20230125:0710,0,0,-0.36
20230125:0810,34.69,7.4,-0.62
20230125:0910,58.78,13.77,0.55
20230125:1010,54.89,18.3,1.15
20230125:1110,65.68,20.58,1.56
20230125:1210,57.83,20.37,1.93
20230125:1310,49.01,17.69,2.2
20230125:1410,36.62,12.82,2.27
20230125:1510,17.34,6.19,2.04
20230125:1610,0,0,1.8
20230125:1710,0,0,1.56
20230125:1810,0,0,1.33
20230125:1910,0,0,-0.01
